date,institution,province,consumable,enrolment,occupancy_rate,is_exam_month,is_event_month,rainfall_mm,quantity_used
2018-01-01,EAV Tumba,Kigali,Soap & Detergent,414,70.9,0,0,109.4,411.21
2018-02-01,EAV Tumba,Kigali,Soap & Detergent,392,70.1,0,0,137.4,434.73
2018-03-01,EAV Tumba,Kigali,Soap & Detergent,385,76.3,0,1,76.1,517.91
2018-04-01,EAV Tumba,Kigali,Soap & Detergent,407,56.7,0,0,38.3,511.41
2018-05-01,EAV Tumba,Kigali,Soap & Detergent,369,74.5,0,0,62.8,533.12
2018-06-01,EAV Tumba,Kigali,Soap & Detergent,443,70.2,1,0,92.0,675.01
2018-07-01,EAV Tumba,Kigali,Soap & Detergent,383,72.9,0,0,55.5,625.4
2018-08-01,EAV Tumba,Kigali,Soap & Detergent,381,69.7,0,0,71.9,627.47
2018-09-01,EAV Tumba,Kigali,Soap & Detergent,399,63.5,0,1,114.7,470.25
2018-10-01,EAV Tumba,Kigali,Soap & Detergent,406,56.3,0,0,50.2,400.97
2018-11-01,EAV Tumba,Kigali,Soap & Detergent,422,73.4,1,0,86.5,418.81
2018-12-01,EAV Tumba,Kigali,Soap & Detergent,355,66.2,0,0,76.2,345.59
2019-01-01,EAV Tumba,Kigali,Soap & Detergent,410,57.9,0,0,99.7,336.73
2019-02-01,EAV Tumba,Kigali,Soap & Detergent,379,76.9,0,0,120.9,444.6
2019-03-01,EAV Tumba,Kigali,Soap & Detergent,374,69.5,0,1,99.9,558.64
2019-04-01,EAV Tumba,Kigali,Soap & Detergent,385,70.5,0,0,56.8,497.91
2019-05-01,EAV Tumba,Kigali,Soap & Detergent,424,82.8,0,0,87.8,711.25
2019-06-01,EAV Tumba,Kigali,Soap & Detergent,410,66.8,1,0,100.8,815.26
2019-07-01,EAV Tumba,Kigali,Soap & Detergent,398,84.5,0,0,11.4,686.04
2019-08-01,EAV Tumba,Kigali,Soap & Detergent,402,69.6,0,0,92.8,470.38
2019-09-01,EAV Tumba,Kigali,Soap & Detergent,393,74.9,0,1,134.3,517.68
2019-10-01,EAV Tumba,Kigali,Soap & Detergent,375,68.0,0,0,117.5,409.13
2019-11-01,EAV Tumba,Kigali,Soap & Detergent,384,76.1,1,0,92.9,447.72
2019-12-01,EAV Tumba,Kigali,Soap & Detergent,378,69.4,0,0,78.2,292.38
2020-01-01,EAV Tumba,Kigali,Soap & Detergent,408,74.1,0,0,90.2,361.53
2020-02-01,EAV Tumba,Kigali,Soap & Detergent,357,68.6,0,0,79.7,366.21
2020-03-01,EAV Tumba,Kigali,Soap & Detergent,395,75.2,0,1,146.6,549.44
2020-04-01,EAV Tumba,Kigali,Soap & Detergent,407,71.4,0,0,32.4,564.97
2020-05-01,EAV Tumba,Kigali,Soap & Detergent,401,91.7,0,0,84.2,678.18
2020-06-01,EAV Tumba,Kigali,Soap & Detergent,398,62.7,1,0,124.3,747.79
2020-07-01,EAV Tumba,Kigali,Soap & Detergent,423,64.7,0,0,132.1,546.55
2020-08-01,EAV Tumba,Kigali,Soap & Detergent,417,89.5,0,0,60.3,582.92
2020-09-01,EAV Tumba,Kigali,Soap & Detergent,402,68.0,0,1,43.5,534.74
2020-10-01,EAV Tumba,Kigali,Soap & Detergent,368,75.8,0,0,62.4,457.43
2020-11-01,EAV Tumba,Kigali,Soap & Detergent,376,69.4,1,0,114.4,362.21
2020-12-01,EAV Tumba,Kigali,Soap & Detergent,406,82.5,0,0,41.8,363.62
2021-01-01,EAV Tumba,Kigali,Soap & Detergent,407,78.3,0,0,52.9,334.2
2021-02-01,EAV Tumba,Kigali,Soap & Detergent,415,74.4,0,0,97.5,438.66
2021-03-01,EAV Tumba,Kigali,Soap & Detergent,379,73.9,0,1,98.8,499.4
2021-04-01,EAV Tumba,Kigali,Soap & Detergent,455,75.8,0,0,54.3,637.61
2021-05-01,EAV Tumba,Kigali,Soap & Detergent,370,78.3,0,0,124.8,570.0
2021-06-01,EAV Tumba,Kigali,Soap & Detergent,428,75.3,1,0,114.7,879.79
2021-07-01,EAV Tumba,Kigali,Soap & Detergent,392,66.0,0,0,63.3,558.82
2021-08-01,EAV Tumba,Kigali,Soap & Detergent,397,74.7,0,0,98.3,604.24
2021-09-01,EAV Tumba,Kigali,Soap & Detergent,400,83.6,0,1,82.1,683.72
2021-10-01,EAV Tumba,Kigali,Soap & Detergent,418,65.1,0,0,57.9,429.68
2021-11-01,EAV Tumba,Kigali,Soap & Detergent,393,77.7,1,0,104.2,419.72
2021-12-01,EAV Tumba,Kigali,Soap & Detergent,374,59.9,0,0,76.6,339.8
2022-01-01,EAV Tumba,Kigali,Soap & Detergent,406,62.0,0,0,95.2,362.23
2022-02-01,EAV Tumba,Kigali,Soap & Detergent,373,73.2,0,0,91.7,368.38
2022-03-01,EAV Tumba,Kigali,Soap & Detergent,410,76.5,0,1,122.5,600.22
2022-04-01,EAV Tumba,Kigali,Soap & Detergent,358,64.5,0,0,105.5,543.42
2022-05-01,EAV Tumba,Kigali,Soap & Detergent,415,99.0,0,0,107.1,751.95
2022-06-01,EAV Tumba,Kigali,Soap & Detergent,428,77.2,1,0,80.5,815.85
2022-07-01,EAV Tumba,Kigali,Soap & Detergent,376,70.1,0,0,75.4,600.06
2022-08-01,EAV Tumba,Kigali,Soap & Detergent,469,57.1,0,0,110.6,499.07
2022-09-01,EAV Tumba,Kigali,Soap & Detergent,385,80.7,0,1,91.9,499.4
2022-10-01,EAV Tumba,Kigali,Soap & Detergent,378,77.4,0,0,68.1,421.22
2022-11-01,EAV Tumba,Kigali,Soap & Detergent,401,66.8,1,0,154.3,430.0
2022-12-01,EAV Tumba,Kigali,Soap & Detergent,339,73.5,0,0,70.1,343.16
2023-01-01,EAV Tumba,Kigali,Soap & Detergent,376,71.1,0,0,105.1,375.92
2023-02-01,EAV Tumba,Kigali,Soap & Detergent,363,69.3,0,0,75.8,374.44
2023-03-01,EAV Tumba,Kigali,Soap & Detergent,452,75.2,0,1,52.2,618.7
2023-04-01,EAV Tumba,Kigali,Soap & Detergent,463,80.3,0,0,44.4,596.79
2023-05-01,EAV Tumba,Kigali,Soap & Detergent,438,66.3,0,0,103.3,668.38
2023-06-01,EAV Tumba,Kigali,Soap & Detergent,372,71.5,1,0,10.0,649.87
2023-07-01,EAV Tumba,Kigali,Soap & Detergent,392,62.0,0,0,139.0,521.47
2023-08-01,EAV Tumba,Kigali,Soap & Detergent,386,73.0,0,0,133.2,492.42
2023-09-01,EAV Tumba,Kigali,Soap & Detergent,434,72.1,0,1,60.6,579.78
2023-10-01,EAV Tumba,Kigali,Soap & Detergent,405,67.2,0,0,92.1,398.42
2023-11-01,EAV Tumba,Kigali,Soap & Detergent,403,77.3,1,0,137.6,384.08
2023-12-01,EAV Tumba,Kigali,Soap & Detergent,463,56.4,0,0,85.4,361.95
2018-01-01,EAV Tumba,Kigali,Bed Linen,408,67.0,0,0,83.8,241.32
2018-02-01,EAV Tumba,Kigali,Bed Linen,382,78.8,0,0,100.7,276.4
2018-03-01,EAV Tumba,Kigali,Bed Linen,426,74.5,0,1,114.4,411.17
2018-04-01,EAV Tumba,Kigali,Bed Linen,375,67.5,0,0,112.4,395.24
2018-05-01,EAV Tumba,Kigali,Bed Linen,399,72.9,0,0,128.3,412.23
2018-06-01,EAV Tumba,Kigali,Bed Linen,416,70.4,1,0,83.5,563.98
2018-07-01,EAV Tumba,Kigali,Bed Linen,424,78.5,0,0,129.2,454.63
2018-08-01,EAV Tumba,Kigali,Bed Linen,420,69.5,0,0,99.7,395.03
2018-09-01,EAV Tumba,Kigali,Bed Linen,402,76.8,0,1,65.5,448.86
2018-10-01,EAV Tumba,Kigali,Bed Linen,369,62.3,0,0,124.7,288.43
2018-11-01,EAV Tumba,Kigali,Bed Linen,418,77.0,1,0,89.6,281.28
2018-12-01,EAV Tumba,Kigali,Bed Linen,402,66.6,0,0,119.3,232.89
2019-01-01,EAV Tumba,Kigali,Bed Linen,375,69.4,0,0,102.4,233.26
2019-02-01,EAV Tumba,Kigali,Bed Linen,375,73.9,0,0,97.3,273.63
2019-03-01,EAV Tumba,Kigali,Bed Linen,385,73.9,0,1,46.6,331.27
2019-04-01,EAV Tumba,Kigali,Bed Linen,378,70.3,0,0,99.3,427.19
2019-05-01,EAV Tumba,Kigali,Bed Linen,425,70.7,0,0,89.4,406.21
2019-06-01,EAV Tumba,Kigali,Bed Linen,399,69.7,1,0,99.7,473.89
2019-07-01,EAV Tumba,Kigali,Bed Linen,415,84.3,0,0,86.7,473.55
2019-08-01,EAV Tumba,Kigali,Bed Linen,420,68.8,0,0,96.7,398.55
2019-09-01,EAV Tumba,Kigali,Bed Linen,402,65.8,0,1,90.7,383.93
2019-10-01,EAV Tumba,Kigali,Bed Linen,443,79.7,0,0,154.6,294.6
2019-11-01,EAV Tumba,Kigali,Bed Linen,426,73.5,1,0,155.7,282.3
2019-12-01,EAV Tumba,Kigali,Bed Linen,374,67.2,0,0,26.3,219.24
2020-01-01,EAV Tumba,Kigali,Bed Linen,377,73.2,0,0,100.3,285.55
2020-02-01,EAV Tumba,Kigali,Bed Linen,428,67.4,0,0,63.0,306.92
2020-03-01,EAV Tumba,Kigali,Bed Linen,360,86.7,0,1,125.4,365.45
2020-04-01,EAV Tumba,Kigali,Bed Linen,348,82.8,0,0,86.6,424.33
2020-05-01,EAV Tumba,Kigali,Bed Linen,352,67.2,0,0,90.2,403.03
2020-06-01,EAV Tumba,Kigali,Bed Linen,386,77.0,1,0,58.0,507.82
2020-07-01,EAV Tumba,Kigali,Bed Linen,403,76.1,0,0,111.3,400.17
2020-08-01,EAV Tumba,Kigali,Bed Linen,353,82.2,0,0,100.0,364.35
2020-09-01,EAV Tumba,Kigali,Bed Linen,446,72.9,0,1,125.4,399.72
2020-10-01,EAV Tumba,Kigali,Bed Linen,461,86.0,0,0,82.5,352.49
2020-11-01,EAV Tumba,Kigali,Bed Linen,419,82.9,1,0,61.1,326.83
2020-12-01,EAV Tumba,Kigali,Bed Linen,431,57.9,0,0,54.5,196.92
2021-01-01,EAV Tumba,Kigali,Bed Linen,391,77.7,0,0,135.1,257.92
2021-02-01,EAV Tumba,Kigali,Bed Linen,448,61.0,0,0,38.9,293.13
2021-03-01,EAV Tumba,Kigali,Bed Linen,411,71.7,0,1,28.0,378.46
2021-04-01,EAV Tumba,Kigali,Bed Linen,360,77.4,0,0,101.0,355.21
2021-05-01,EAV Tumba,Kigali,Bed Linen,384,63.5,0,0,88.1,442.23
2021-06-01,EAV Tumba,Kigali,Bed Linen,370,76.0,1,0,74.1,470.69
2021-07-01,EAV Tumba,Kigali,Bed Linen,396,63.7,0,0,73.4,376.79
2021-08-01,EAV Tumba,Kigali,Bed Linen,458,72.3,0,0,69.0,427.18
2021-09-01,EAV Tumba,Kigali,Bed Linen,396,70.2,0,1,108.4,395.43
2021-10-01,EAV Tumba,Kigali,Bed Linen,384,67.4,0,0,81.7,229.49
2021-11-01,EAV Tumba,Kigali,Bed Linen,354,82.9,1,0,139.3,282.18
2021-12-01,EAV Tumba,Kigali,Bed Linen,417,74.5,0,0,182.4,268.78
2022-01-01,EAV Tumba,Kigali,Bed Linen,396,64.4,0,0,41.8,249.49
